PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
47168,0,0,49.79437255859375,10925.982,7228.034000000001,0,0,0,0
47169,0,0,49.45124816894531,10968.821000000002,7200.794,0,0,0,0
47170,0,0,49.52312469482422,10959.77,7206.722,0,0,0,0
47171,0,0,49.44124984741211,10964.733999999999,7203.4259999999995,0,0,0,0
47172,0,0,49.50562286376953,10955.896999999999,7209.289000000001,0,0,0,0
47173,0,0,49.46500015258789,10953.094,7211.0869999999995,0,0,0,0
47174,0,0,49.493125915527344,10951.318000000001,7212.285,0,0,0,0
47175,0,0,49.61249923706055,10947.616000000002,7214.66,0,0,0,0
47176,0,0,49.363746643066406,10979.627,7193.861,0,0,0,0
47177,0,0,49.28499984741211,10976.181999999999,7196.108,0,0,0,0
47178,0,0,49.43124771118164,10971.988000000001,7198.655,0,0,0,0
47179,0,0,49.33374786376953,10984.313999999998,7190.93,0,0,0,0
47180,0,0,49.21062469482422,10987.566,7189.111,0,0,0,0
47181,0,0,49.27750015258789,10993.943000000001,7185.088000000001,0,0,0,0
47182,0,0,49.29999923706055,10998.201000000001,7182.606,0,0,0,0
47183,0,0,49.31624984741211,11003.23,7179.566999999999,0,0,0,0
47184,0,0,49.32749938964844,11011.489,7174.41,0,0,0,0
47185,0,0,49.279998779296875,11016.454,7171.436,0,0,0,0
47186,0,0,49.2287483215332,11020.177,7169.04,0,0,0,0
47187,0,0,49.26687240600586,11023.386999999999,7166.6,0,0,0,0
47188,0,0,49.223121643066406,11025.163,7164.91,0,0,0,0
47189,0,0,49.21062469482422,11026.361,7163.048000000001,0,0,0,0
47190,0,0,49.254371643066406,11027.452,7160.095,0,0,0,0
47191,0,0,49.27375030517578,11027.581,7158.405,0,0,0,0
47192,0,0,49.27375030517578,11027.556,7158.1359999999995,0,0,0,0
47193,0,0,49.27874755859375,11027.376,7156.159000000001,0,0,0,0
47194,0,0,49.30812454223633,11027.345,7155.816,0,0,0,0
47195,0,0,49.350624084472656,11026.986,7154.222,0,0,0,0
