DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
154,1.162,20787,0,0,0,0,0,1.20,1.20
155,1.162,41571,0,0,0,0,0,1.20,1.20
156,1.162,44148,0,0,0,0,0,1.20,1.20
157,1.162,45036,0,0,0,0,0,1.20,1.20
158,1.162,25619,0,0,0,0,0,1.20,1.20
159,1.162,16120,0,0,0,0,0,1.20,1.20
160,1.162,697,0,0,0,0,0,1.20,1.20
161,1.162,22729,0,0,0,0,0,1.20,1.20
162,1.162,5505,0,0,0,0,0,1.20,1.20
163,1.162,25824,0,0,0,0,0,1.20,1.20
164,1.162,1745,0,0,0,0,0,1.20,1.20
165,1.162,44302,0,0,0,0,0,1.20,1.20
166,1.162,10642,0,0,0,0,0,1.20,1.20
167,1.162,6478,0,0,0,0,0,1.20,1.20
168,1.162,24895,0,0,0,0,0,1.20,1.20
169,1.142,6811,0,0,0,0,0,1.20,1.20
170,1.142,43418,0,0,0,0,0,1.20,1.20
171,1.142,27765,0,0,0,0,0,1.20,1.20
172,1.142,15593,0,0,0,0,0,1.20,1.20
173,1.142,42470,0,0,0,0,0,1.20,1.20
174,1.142,29437,0,0,0,0,0,1.20,1.20
175,1.142,1431,0,0,0,0,0,1.20,1.20
176,1.142,26083,0,0,0,0,0,1.20,1.20
177,1.188,36353,0,0,0,0,0,1.20,1.20
178,1.188,31483,0,0,0,0,0,1.20,1.20
179,1.188,17700,0,0,0,0,0,1.20,1.20
180,1.188,29140,0,0,0,0,0,1.20,1.20
181,1.188,39211,0,0,0,0,0,1.20,1.20
182,1.188,4629,0,0,0,0,0,1.20,1.20
183,1.188,43346,0,0,0,0,0,1.20,1.20
184,1.188,24126,0,0,0,0,0,1.20,1.20
185,1.188,35693,0,0,0,0,0,1.20,1.20
186,1.188,31255,0,0,0,0,0,1.20,1.20
187,1.188,2995,0,0,0,0,0,1.20,1.20
188,1.188,8689,0,0,0,0,0,1.20,1.20
189,1.188,1757,0,0,0,0,0,1.20,1.20
190,1.188,10430,0,0,0,0,0,1.20,1.20
191,1.188,185,0,0,0,0,0,1.20,1.20
192,1.188,32459,0,0,0,0,0,1.20,1.20
193,1.188,22379,0,0,0,0,0,1.20,1.20
194,1.195,20179,0,0,0,0,0,1.20,1.20
195,1.195,5228,0,0,0,0,0,1.20,1.20
196,1.195,34194,0,0,0,0,0,1.20,1.20
197,1.195,14434,0,0,0,0,0,1.20,1.20
198,1.195,19588,0,0,0,0,0,1.20,1.20
199,1.195,18231,0,0,0,0,0,1.20,1.20
200,1.195,4327,0,0,0,0,0,1.20,1.20
201,1.195,20365,0,0,0,0,0,1.20,1.20
202,1.195,38144,0,0,0,0,0,1.20,1.20
203,1.195,42593,0,0,0,0,0,1.20,1.20
204,1.195,44773,0,0,0,0,0,1.20,1.20
205,1.183,27282,0,0,0,0,0,1.20,1.20
206,1.183,2422,0,0,0,0,0,1.20,1.20
207,1.183,28192,0,0,0,0,0,1.20,1.20
208,1.183,19566,0,0,0,0,0,1.20,1.20
209,1.183,20855,0,0,0,0,0,1.20,1.20
210,1.183,20637,0,0,0,0,0,1.20,1.20
211,1.183,32767,0,0,0,0,0,1.20,1.20
212,1.183,31397,0,0,0,0,0,1.20,1.20
213,1.183,42683,0,0,0,0,0,1.20,1.20
214,1.183,8103,0,0,0,0,0,1.20,1.20
215,1.183,9289,0,0,0,0,0,1.20,1.20
216,1.183,39581,0,0,0,0,0,1.20,1.20
217,1.183,180,0,0,0,0,0,1.20,1.20
218,1.183,31800,0,0,0,0,0,1.20,1.20
219,1.183,30954,0,0,0,0,0,1.20,1.20
220,0.891,30680,0,0,0,0,0,1.20,1.20
221,0.891,44642,0,0,0,0,0,1.20,1.20
222,0.891,35167,0,0,0,0,0,1.20,1.20
223,0.994,30108,0,0,0,0,0,1.20,1.20
224,0.770,23087,0,0,0,0,0,1.20,1.20
225,1.056,6473,0,0,0,0,0,1.20,1.20
226,0.461,6343,0,0,0,0,0,1.20,1.20
227,0.423,10719,0,0,0,0,0,1.20,1.20
228,0.395,33969,0,0,0,0,0,1.20,1.20
229,0.432,13566,0,0,0,0,0,1.20,1.20
230,0.984,4795,0,0,0,0,0,1.20,1.20
231,0.557,9883,0,0,0,0,0,1.20,1.20
232,0.654,36812,0,0,0,0,0,1.20,1.20
233,0.763,12913,0,0,0,0,0,1.20,1.20
234,0.879,29222,0,0,0,0,0,1.20,1.20
235,1.115,3148,0,0,0,0,0,1.20,1.20
236,1.115,4548,0,0,0,0,0,1.20,1.20
237,1.115,31832,0,0,0,0,0,1.20,1.20
238,1.115,38611,0,0,0,0,0,1.20,1.20
239,1.115,40386,0,0,0,0,0,1.20,1.20
240,1.115,30532,0,0,0,0,0,1.20,1.20
241,1.115,26355,0,0,0,0,0,1.20,1.20
242,1.115,44311,0,0,0,0,0,1.20,1.20
243,1.115,26623,0,0,0,0,0,1.20,1.20
244,1.115,36378,0,0,0,0,0,1.20,1.20
245,1.115,36473,0,0,0,0,0,1.20,1.20
246,1.115,25086,0,0,0,0,0,1.20,1.20
247,1.115,29546,0,0,0,0,0,1.20,1.20
248,1.181,7025,0,0,0,0,0,1.20,1.20
249,1.181,38257,0,0,0,0,0,1.20,1.20
250,1.181,2110,0,0,0,0,0,1.20,1.20
251,1.181,17565,0,0,0,0,0,1.20,1.20
252,1.181,17777,0,0,0,0,0,1.20,1.20
253,1.181,2116,0,0,0,0,0,1.20,1.20
254,1.181,36837,0,0,0,0,0,1.20,1.20
255,1.181,2390,0,0,0,0,0,1.20,1.20
256,1.181,19948,0,0,0,0,0,1.20,1.20
257,1.181,31512,0,0,0,0,0,1.20,1.20
258,1.181,13385,0,0,0,0,0,1.20,1.20
259,1.181,46056,0,0,0,0,0,1.20,1.20
