ID,LID,Width,Color,type,LinkId
320,5255,10,W,0,0
321,5256,10,W,0,0
322,5257,10,W,0,0
323,5258,10,W,0,0
324,5259,10,W,0,0
325,5260,10,W,0,0
326,5261,10,W,0,0
327,5262,10,W,1,0
328,5263,10,W,1,0
329,5264,10,W,1,0
330,5265,10,W,1,0
331,5266,10,W,1,0
332,5267,10,W,1,0
333,5268,10,W,1,0
334,5269,10,W,1,0
335,5270,10,W,1,0
336,5271,10,W,1,0
337,5272,10,W,1,0
338,5273,10,W,1,0
339,5274,10,W,1,0
340,5275,10,W,0,0
341,5276,10,W,0,0
342,5277,10,W,0,0
343,5278,10,W,0,0
344,5279,10,W,0,0
345,5280,10,W,0,0
346,5281,10,W,0,0
347,5282,10,W,0,0
348,5283,10,W,0,0
349,5284,10,W,0,0
350,5285,10,W,0,0
351,5286,10,W,0,0
352,5287,10,W,0,0
353,5288,10,W,0,0
354,5289,10,W,0,0
355,5290,10,W,0,0
356,5291,10,W,0,0
357,5292,10,W,0,0
358,5293,10,W,0,0
359,5294,10,W,0,0
360,5295,10,W,0,0
361,5296,10,W,0,0
362,5297,10,W,0,0
363,5298,10,W,0,0
364,5299,10,W,0,0
365,5300,10,W,0,0
366,5301,10,W,0,0
367,5302,10,W,0,0
368,5303,10,W,1,0
369,5304,10,W,1,0
370,5305,10,W,1,0
371,5306,10,W,1,0
372,5307,10,W,1,0
373,5308,10,W,1,0
374,5309,10,W,1,0
375,5310,10,W,1,0
376,5311,10,W,1,0
377,5312,10,W,1,0
378,5313,10,W,1,0
379,5314,10,W,1,0
380,5315,10,W,1,0
381,5316,10,W,1,0
382,5317,10,W,1,0
383,5318,10,W,0,0
384,5319,10,W,0,0
385,5320,10,W,0,0
386,5321,10,W,0,0
387,5322,10,W,0,0
388,5323,10,W,0,0
389,5324,10,W,0,0
390,5325,10,W,0,0
391,5326,10,W,0,0
392,5327,10,W,0,0
393,5328,10,W,0,0
394,5329,10,W,0,0
395,5330,10,W,0,0
396,5331,10,W,0,0
397,5332,10,W,0,0
398,5333,10,W,1,0
399,5334,10,W,1,0
400,5335,10,W,1,0
401,5336,10,W,1,0
402,5337,10,W,1,0
403,5338,10,W,1,0
404,5339,10,W,1,0
405,5340,10,W,1,0
406,5341,10,W,1,0
407,5342,10,W,1,0
408,5343,10,W,1,0
409,5344,10,W,1,0
410,5345,10,W,1,0
411,5346,10,W,1,0
412,5347,10,W,1,0
413,5348,10,W,1,0
414,5349,10,W,1,0
415,5350,10,W,1,0
416,5351,10,W,1,0
417,5352,10,W,0,0
418,5353,10,W,0,0
419,5354,10,W,0,0
420,5355,10,W,0,0
421,5356,10,W,0,0
422,5357,10,W,0,0
423,5358,10,W,0,0
424,5359,10,W,0,0
425,5360,10,W,0,0
426,5361,10,W,0,0
427,5362,10,W,0,0
428,5363,10,W,0,0
429,5364,10,W,0,0
430,5365,10,W,0,0
431,5366,10,W,0,0
432,5367,10,W,0,0
433,5368,10,W,0,0
434,5369,10,W,0,0
435,5370,10,W,0,0
436,5371,10,W,0,0
437,5372,10,W,0,0
438,5373,10,W,0,0
439,5374,10,W,0,0
440,5375,10,W,0,0
441,5376,10,W,0,0
442,5377,10,W,0,0
443,5378,10,W,0,0
444,5379,10,W,0,0
445,5380,10,W,0,0
446,5381,10,W,0,0
447,5382,10,W,0,0
448,5383,10,W,0,0
449,5384,10,W,0,0
450,5385,10,W,1,0
