PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
12,0.0,0.0,34.9425,11450.488,11523.6,0,0,0,0
391,0.0,0.0,50.239998,11335.065,10555.537,0,0,0,0
858,0.0,0.0,34.274376,11656.748,11357.842,0,0,0,0
997,0.0,0.0,35.758125,11615.926,11645.179,0,0,0,0
1091,0.0,0.0,44.839375,11282.42,10620.653,0,0,0,0
1889,0.0,0.0,33.930626,11717.468,11393.323,0,0,0,0
45318,0.0,0.0,36.0,11208.288,11140.739,0,0,0,0
45322,0.0,0.0,34.811874,11812.138,11755.932,0,0,0,0
45325,0.0,0.0,34.430626,11900.873,11796.766,0,0,0,0
45333,0.0,0.0,33.374374,12117.172,11653.346,0,0,0,0
45336,0.0,0.0,34.850624,11778.354,11712.173,0,0,0,0
4618,0.0,0.0,35.05,11218.31,11188.532,0,0,0,0
45344,0.0,0.0,38.650623,11281.227,10736.955,0,0,0,0
5652,0.0,0.0,36.9025,11830.9,11616.124,0,0,0,0
45353,0.0,0.0,48.98125,11261.136,10543.109,0,0,0,0
45354,0.0,0.0,49.376873,11280.7295,10523.606,0,0,0,0
45358,0.0,0.0,53.244373,11323.479,10268.008,0,0,0,0
45359,0.0,0.0,53.166874,11329.724,10269.001,0,0,0,0
6452,0.0,0.0,34.474373,11349.456,11025.953,0,0,0,0
45366,0.0,0.0,34.63625,11233.131,11216.255,0,0,0,0
6874,0.0,0.0,53.833122,11359.294,10038.226,0,0,0,0
7344,0.0,0.0,35.536873,11571.689,11626.041,0,0,0,0
7623,0.0,0.0,49.254997,8825.008,10731.794,0,0,0,0
45387,0.0,0.0,49.574375,11717.331,10633.227,0,0,0,0
9041,0.0,0.0,41.270626,8063.637,9992.133,0,0,0,0
45403,0.0,0.0,35.23875,11238.0205,10949.341,0,0,0,0
11702,0.0,0.0,52.961872,11337.179,10169.405,0,0,0,0
12172,0.0,0.0,53.3325,11429.324,9670.479,0,0,0,0
15967,0.0,0.0,46.538124,11281.617,10588.456,0,0,0,0
16060,0.0,0.0,39.743122,10988.029,11454.278,0,0,0,0
18207,0.0,0.0,49.231247,8623.878,10591.338,0,0,0,0
20472,0.0,0.0,54.658123,11348.681,9825.168,0,0,0,0
24404,0.0,0.0,33.921875,11404.336,11145.065,0,0,0,0
24453,0.0,0.0,35.3525,11188.065,11229.473,0,0,0,0
26213,0.0,0.0,49.015625,11287.797,10535.473,0,0,0,0
26632,0.0,0.0,49.0775,8775.53,10693.752,0,0,0,0
26688,0.0,0.0,51.459373,11358.8125,9548.657,0,0,0,0
28770,0.0,0.0,34.8075,11343.788,11374.158,0,0,0,0
29054,0.0,0.0,48.946877,10313.028,8160.064,0,0,0,0
32093,0.0,0.0,49.168747,8799.665,10711.9,0,0,0,0
36315,0.0,0.0,34.864376,11828.035,11720.289,0,0,0,0
37078,0.0,0.0,50.96875,11297.652,10448.167,0,0,0,0
