DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
234,0.879,28352,0,0,0,0,0,1.20,1.20
235,1.115,3066,0,0,0,0,0,1.20,1.20
236,1.115,4417,0,0,0,0,0,1.20,1.20
237,1.115,30888,0,0,0,0,0,1.20,1.20
238,1.115,37463,0,0,0,0,0,1.20,1.20
239,1.115,39179,0,0,0,0,0,1.20,1.20
240,1.115,29626,0,0,0,0,0,1.20,1.20
241,1.115,25583,0,0,0,0,0,1.20,1.20
242,1.115,42980,0,0,0,0,0,1.20,1.20
243,1.115,25845,0,0,0,0,0,1.20,1.20
244,1.115,35292,0,0,0,0,0,1.20,1.20
245,1.115,35382,0,0,0,0,0,1.20,1.20
246,1.115,24342,0,0,0,0,0,1.20,1.20
247,1.115,28671,0,0,0,0,0,1.20,1.20
248,1.181,6827,0,0,0,0,0,1.20,1.20
249,1.181,37125,0,0,0,0,0,1.20,1.20
250,1.181,2057,0,0,0,0,0,1.20,1.20
251,1.181,17061,0,0,0,0,0,1.20,1.20
252,1.181,17269,0,0,0,0,0,1.20,1.20
253,1.181,2063,0,0,0,0,0,1.20,1.20
254,1.181,35739,0,0,0,0,0,1.20,1.20
255,1.181,2329,0,0,0,0,0,1.20,1.20
256,1.181,19370,0,0,0,0,0,1.20,1.20
257,1.181,30578,0,0,0,0,0,1.20,1.20
258,1.181,12998,0,0,0,0,0,1.20,1.20
259,1.181,44688,0,0,0,0,0,1.20,1.20
260,1.181,4495,0,0,0,0,0,1.20,1.20
261,1.161,4891,0,0,0,0,0,1.20,1.20
262,1.161,43175,0,0,0,0,0,1.20,1.20
263,1.161,5765,0,0,0,0,0,1.20,1.20
264,1.161,15341,0,0,0,0,0,1.20,1.20
265,1.161,16778,0,0,0,0,0,1.20,1.20
266,0.957,33406,0,0,0,0,0,1.20,1.20
267,0.957,40422,0,0,0,0,0,1.20,1.20
268,0.957,41902,0,0,0,0,0,1.20,1.20
269,0.957,23371,0,0,0,0,0,1.20,1.20
270,1.180,9580,0,0,0,0,0,1.20,1.20
271,1.180,9428,0,0,0,0,0,1.20,1.20
272,1.180,33226,0,0,0,0,0,1.20,1.20
273,1.180,17281,0,0,0,0,0,1.20,1.20
274,1.180,27276,0,0,0,0,0,1.20,1.20
275,1.180,29382,0,0,0,0,0,1.20,1.20
276,1.180,11102,0,0,0,0,0,1.20,1.20
277,1.180,42990,0,0,0,0,0,1.20,1.20
278,1.041,39239,0,0,0,0,0,1.20,1.20
279,1.041,33511,0,0,0,0,0,1.20,1.20
280,1.041,31223,0,0,0,0,0,1.20,1.20
281,1.041,16288,0,0,0,0,0,1.20,1.20
282,1.041,26417,0,0,0,0,0,1.20,1.20
283,1.041,39863,0,0,0,0,0,1.20,1.20
284,1.113,6827,0,0,0,0,0,1.20,1.20
285,1.113,28399,0,0,0,0,0,1.20,1.20
286,1.113,33973,0,0,0,0,0,1.20,1.20
287,1.113,16073,0,0,0,0,0,1.20,1.20
288,1.113,1435,0,0,0,0,0,1.20,1.20
289,1.141,29186,0,0,0,0,0,1.20,1.20
290,1.141,16079,0,0,0,0,0,1.20,1.20
291,1.141,7148,0,0,0,0,0,1.20,1.20
292,1.141,5275,0,0,0,0,0,1.20,1.20
293,0.736,11552,0,0,0,0,0,1.20,1.20
294,0.736,32995,0,0,0,0,0,1.20,1.20
295,1.102,14149,0,0,0,0,0,1.20,1.20
296,1.102,6127,0,0,0,0,0,1.20,1.20
297,1.102,6513,0,0,0,0,0,1.20,1.20
298,1.102,38459,0,0,0,0,0,1.20,1.20
299,1.102,10830,0,0,0,0,0,1.20,1.20
300,1.102,27092,0,0,0,0,0,1.20,1.20
301,1.124,22052,0,0,0,0,0,1.20,1.20
302,1.124,40197,0,0,0,0,0,1.20,1.20
303,1.124,3559,0,0,0,0,0,1.20,1.20
304,1.124,2900,0,0,0,0,0,1.20,1.20
305,1.124,33728,0,0,0,0,0,1.20,1.20
306,1.124,39023,0,0,0,0,0,1.20,1.20
307,1.124,35261,0,0,0,0,0,1.20,1.20
308,1.124,7009,0,0,0,0,0,1.20,1.20
309,1.124,24694,0,0,0,0,0,1.20,1.20
310,1.124,40275,0,0,0,0,0,1.20,1.20
311,1.124,25433,0,0,0,0,0,1.20,1.20
312,1.124,37362,0,0,0,0,0,1.20,1.20
313,1.124,38422,0,0,0,0,0,1.20,1.20
314,1.160,21142,0,0,0,0,0,1.20,1.20
315,1.160,40244,0,0,0,0,0,1.20,1.20
316,1.160,8107,0,0,0,0,0,1.20,1.20
317,1.160,7100,0,0,0,0,0,1.20,1.20
318,1.160,23299,0,0,0,0,0,1.20,1.20
319,1.160,10434,0,0,0,0,0,1.20,1.20
