x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
9433.9601,9959.3055,34.7488,-1.6373,18.0000,0,0,0,0,0
9433.8928,9958.3072,34.7430,-1.6388,18.0000,0,0,0,0,0
9433.8241,9957.3091,34.7373,-1.6402,18.0000,0,0,0,0,0
9433.7541,9956.3112,34.7317,-1.6415,18.0000,0,0,0,0,0
9433.6829,9955.3137,34.7262,-1.6427,18.0000,0,0,0,0,0
9433.6105,9954.3163,34.7207,-1.6438,18.0000,0,0,0,0,0
9433.5369,9953.3188,34.7152,-1.6449,18.0000,0,0,0,0,0
9433.4623,9952.3212,34.7098,-1.6460,18.0000,0,0,0,0,0
9433.3866,9951.3236,34.7045,-1.6471,18.0000,0,0,0,0,0
9433.3098,9950.3261,34.6992,-1.6481,18.0000,0,0,0,0,0
9433.2320,9949.3287,34.6939,-1.6492,18.0000,0,0,0,0,0
9433.1531,9948.3314,34.6886,-1.6503,18.0000,0,0,0,0,0
9433.0731,9947.3344,34.6834,-1.6514,18.0000,0,0,0,0,0
9432.9921,9946.3373,34.6781,-1.6525,18.0000,0,0,0,0,0
9432.9098,9945.3404,34.6729,-1.6537,18.0000,0,0,0,0,0
9432.8263,9944.3425,34.6677,-1.6550,18.0000,0,0,0,0,0
9432.7417,9943.3494,34.6625,-1.6564,18.0000,0,0,0,0,0
9432.6607,9942.4123,34.6576,-1.6581,18.0000,0,0,0,0,0
9432.5703,9941.3917,34.6523,-1.6600,18.0000,0,0,0,0,0
9432.4776,9940.3644,34.6468,-1.6620,18.0000,0,0,0,0,0
9432.3825,9939.3383,34.6414,-1.6646,18.0000,0,0,0,0,0
9432.2891,9938.3608,34.6361,-1.6675,18.0000,0,0,0,0,0
9432.1916,9937.3712,34.6308,-1.6708,18.0000,0,0,0,0,0
9432.0901,9936.3773,34.6254,-1.6747,18.0000,0,0,0,0,0
9431.9841,9935.3805,34.6199,-1.6793,18.0000,0,0,0,0,0
9431.8735,9934.3877,34.6143,-1.6846,18.0000,0,0,0,0,0
9431.7576,9933.3991,34.6087,-1.6907,18.0000,0,0,0,0,0
9431.6343,9932.4030,34.6030,-1.6974,18.0000,0,0,0,0,0
9431.5045,9931.4099,34.5972,-1.7039,18.0000,0,0,0,0,0
9431.3693,9930.4234,34.5913,-1.7089,18.0000,0,0,0,0,0
9431.2292,9929.4290,34.5854,-1.7108,18.0000,0,0,0,0,0
9431.2236,9929.3896,34.5851,-1.7117,18.0000,0,0,0,1,0
