x,y,z,yaw,velocity,change_flag
10851.4960,11280.2951,59.7561,-2.7043,26.8562,0
10850.5512,11279.8522,59.7355,-2.7043,26.8032,0
10849.6089,11279.4095,59.7377,-2.7047,26.7509,0
10848.6677,11278.9669,59.7389,-2.7049,26.7405,0
10847.7267,11278.5261,59.7237,-2.7046,26.7082,0
10846.7873,11278.0860,59.7079,-2.7042,26.6713,0
10845.8482,11277.6447,59.7002,-2.7034,26.7025,0
10844.9102,11277.2012,59.6966,-2.7022,26.6771,0
10843.9728,11276.7559,59.6941,-2.7009,26.7079,0
10843.0344,11276.3109,59.6856,-2.6998,26.7189,0
10842.0966,11275.8632,59.6732,-2.6992,26.7209,0
10841.1587,11275.4143,59.6623,-2.6986,26.7313,0
10840.2201,11274.9674,59.6473,-2.6978,26.7442,0
10839.2827,11274.5171,59.6332,-2.6977,26.7747,0
10838.3458,11274.0673,59.6191,-2.6969,26.6990,0
10837.4100,11273.6181,59.6153,-2.6962,26.6868,0
10836.4750,11273.1676,59.6092,-2.6961,26.6743,0
10835.5397,11272.7181,59.6010,-2.6961,26.6842,0
10834.6047,11272.2703,59.5991,-2.6961,26.6441,0
10833.6710,11271.8208,59.5834,-2.6961,26.6257,0
10832.7379,11271.3719,59.5577,-2.6950,26.5942,0
10831.8061,11270.9223,59.5488,-2.6947,26.5829,0
10830.8763,11270.4717,59.5552,-2.6947,26.5280,0
10829.9486,11270.0204,59.5547,-2.6951,26.4900,0
10829.0215,11269.5719,59.5341,-2.6955,26.4419,0
10828.0948,11269.1268,59.5103,-2.6958,26.3858,0
10827.1699,11268.6821,59.5068,-2.6963,26.3549,0
10826.2475,11268.2378,59.5134,-2.6965,26.2905,0
10825.3259,11267.7974,59.5061,-2.6967,26.2270,0
10824.4083,11267.3559,59.4829,-2.6973,26.1594,0
10823.4927,11266.9159,59.4603,-2.6972,26.0757,0
10822.5794,11266.4779,59.4530,-2.6970,26.0520,0
10821.6688,11266.0425,59.4540,-2.6970,25.9257,0
10820.7624,11265.6061,59.4432,-2.6975,25.8228,0
10819.8589,11265.1703,59.4217,-2.6974,25.7297,0
10818.8930,11264.7082,59.4068,-2.6973,25.6579,0
10817.9315,11264.2465,59.4088,-2.6978,25.5448,0
10816.9730,11263.7870,59.4049,-2.6980,25.4644,0
10816.0173,11263.3295,59.3898,-2.6983,25.3706,0
10815.0647,11262.8752,59.3753,-2.6989,25.2605,0
10814.1158,11262.4220,59.3653,-2.6994,25.1805,0
10813.1698,11261.9706,59.3516,-2.6996,25.0932,0
10812.2267,11261.5229,59.3442,-2.6996,24.9866,0
10811.2885,11261.0745,59.3399,-2.7006,24.9192,0
10810.3531,11260.6286,59.3275,-2.7012,24.8254,0
10809.4206,11260.1862,59.3148,-2.7023,24.7488,0
10808.4904,11259.7481,59.3068,-2.7035,24.6543,0
10807.5631,11259.3119,59.2943,-2.7050,24.5709,0
10806.6394,11258.8774,59.2756,-2.7059,24.4741,0
10805.7183,11258.4463,59.2657,-2.7058,24.3975,0
10804.8000,11258.0185,59.2626,-2.7055,24.2948,0
10803.8866,11257.5895,59.2603,-2.7061,24.1985,0
10802.9761,11257.1619,59.2509,-2.7060,24.1433,0
10802.0692,11256.7377,59.2346,-2.7056,23.9955,0
10801.1056,11256.2868,59.2198,-2.7056,23.9121,0
10800.1474,11255.8381,59.2091,-2.7059,23.7467,0
10799.1961,11255.3905,59.2093,-2.7061,23.5982,0
10798.2505,11254.9483,59.1983,-2.7058,23.3956,0
10797.3137,11254.5095,59.1822,-2.7060,23.1871,0
10796.3866,11254.0763,59.1798,-2.7061,22.8957,0
10795.4723,11253.6455,59.1766,-2.7061,22.6101,0
10794.5148,11253.1959,59.1612,-2.7052,22.2320,0
10793.5747,11252.7558,59.1455,-2.7049,21.7554,0
10792.6589,11252.3231,59.1390,-2.7050,21.1723,0
10791.7183,11251.8789,59.1291,-2.7049,20.4459,0
10790.8113,11251.4524,59.1168,-2.7044,19.6565,0
10789.8951,11251.0228,59.1107,-2.7043,18.7289,0
10788.9816,11250.5916,59.0984,-2.7038,17.6976,0
10788.0774,11250.1638,59.0813,-2.7030,16.6256,0
10787.1518,11249.7290,59.0683,-2.7021,15.4382,0
10786.2242,11249.2884,59.0642,-2.7012,14.1741,0
10785.3097,11248.8544,59.0544,-2.7003,12.8595,0
10784.3971,11248.4211,59.0538,-2.6995,11.4585,0
10783.4926,11247.9912,59.0446,-2.6987,9.7773,0
10782.5844,11247.5588,59.0271,-2.6976,7.6485,0
10781.6686,11247.1233,58.9971,-2.6962,5.4586,0
10780.7631,11246.6944,58.9800,-2.6975,2.2306,0
