wp_id,x,y,z,yaw,velocity,change_flag
248,10794.8048,11220.4865,58.4938,-1.0177,18.7889,0
249,10795.3330,11219.5850,58.4774,-1.0184,18.8540,0
250,10795.8673,11218.6738,58.4581,-1.0195,19.0405,0
251,10796.4092,11217.7587,58.4265,-1.0208,19.2189,0
252,10796.9465,11216.8420,58.4254,-1.0212,19.1539,0
253,10797.4766,11215.9286,58.4213,-1.0216,19.0055,0
254,10798.0104,11215.0263,58.4123,-1.0230,18.8554,0
255,10798.5326,11214.1280,58.4208,-1.0225,18.7156,0
256,10799.0486,11213.2361,58.4135,-1.0224,18.5476,0
257,10799.5635,11212.3536,58.3997,-1.0228,18.3728,0
258,10800.0725,11211.4803,58.3941,-1.0222,18.2546,0
259,10800.5738,11210.6131,58.3815,-1.0210,18.0727,0
260,10801.1245,11209.6706,58.3734,-1.0203,17.8936,0
261,10801.6676,11208.7331,58.3608,-1.0195,17.7764,0
262,10802.2097,11207.8065,58.3582,-1.0195,17.6162,0
263,10802.7479,11206.8921,58.3453,-1.0180,17.4243,0
264,10803.2774,11205.9840,58.3277,-1.0169,17.2652,0
265,10803.8044,11205.0942,58.3139,-1.0163,16.8707,0
266,10804.3150,11204.2297,58.3069,-1.0151,16.2606,0
267,10804.8459,11203.3272,58.2980,-1.0129,15.5277,0
268,10805.3590,11202.4681,58.2854,-1.0116,14.9481,0
269,10805.8946,11201.5686,58.2720,-1.0094,14.4283,0
270,10806.4082,11200.7047,58.2792,-1.0065,13.8129,0
271,10806.9459,11199.8166,58.2567,-1.0020,13.3756,0
272,10807.4733,11198.9550,58.2544,-0.9920,13.0496,0
273,10808.0346,11198.0613,58.2450,-0.9636,12.6209,0
274,10808.6139,11197.2171,58.2461,-0.9108,12.2811,0
275,10809.2710,11196.3805,58.2260,-0.8298,11.9930,0
276,10809.9802,11195.6282,58.2375,-0.7290,11.5898,0
277,10810.7870,11194.9471,58.2243,-0.6084,11.0954,0
278,10811.6452,11194.3915,58.2182,-0.4908,10.7201,0
279,10812.5865,11193.9346,58.2233,-0.3768,10.3442,0
280,10813.5445,11193.5894,58.2250,-0.2711,10.0189,0
281,10814.5619,11193.3522,58.2314,-0.1637,9.5884,0
282,10815.5544,11193.2301,58.2355,-0.0653,9.1576,0
283,10816.5688,11193.2097,58.2316,0.0297,8.7787,0
284,10817.5976,11193.2754,58.2443,0.1201,8.5603,0
285,10818.6069,11193.4335,58.2444,0.1970,8.4899,0
286,10819.6135,11193.6701,58.2631,0.2649,8.1636,0
287,10820.5754,11193.9534,58.2713,0.3160,7.8073,0
288,10821.5547,11194.2878,58.2948,0.3536,7.5207,0
289,10822.5235,11194.6404,58.2749,0.3702,8.4268,0
290,10823.4862,11195.0151,58.2919,0.3853,8.9894,0
291,10824.4442,11195.3907,58.3038,0.4014,9.2277,0
292,10825.3719,11195.7749,58.3043,0.4147,9.6037,0
293,10826.3293,11196.1930,58.3306,0.4260,10.1081,0
294,10827.2854,11196.6151,58.3264,0.4320,10.6910,0
295,10828.2362,11197.0436,58.3405,0.4383,11.2849,0
296,10829.1726,11197.4656,58.3726,0.4450,11.8004,0
297,10830.0832,11197.8927,58.3903,0.4498,12.3036,0
298,10831.0293,11198.3376,58.4040,0.4539,12.8068,0
299,10831.9457,11198.7719,58.4092,0.4563,13.3476,0
300,10832.8976,11199.2245,58.4227,0.4592,13.8393,0
301,10833.8090,11199.6673,58.4385,0.4606,14.2558,0
302,10834.7505,11200.1173,58.4373,0.4629,14.7356,0
303,10835.7226,11200.5797,58.4422,0.4636,15.2320,0
304,10836.6404,11201.0313,58.4465,0.4644,15.6373,0
305,10837.5864,11201.4895,58.4597,0.4674,16.0437,0
306,10838.5567,11201.9559,58.4648,0.4691,16.4632,0
307,10839.4640,11202.4053,58.4814,0.4722,16.9721,0
308,10840.3988,11202.8691,58.4891,0.4760,17.4718,0
309,10841.3642,11203.3481,58.5010,0.4764,17.9849,0
310,10842.2623,11203.8003,58.5154,0.4745,18.4344,0
311,10843.1837,11204.2561,58.5214,0.4741,18.8246,0
