wp_id,x,y,z,yaw,velocity,change_flag
131,9818.0302,13062.9775,51.1019,-2.8528,39.7926,0
132,9816.9737,13062.6579,51.1027,-2.8529,39.6923,0
133,9815.9198,13062.3393,51.1033,-2.8530,39.5925,0
134,9814.8685,13062.0216,51.1029,-2.8531,39.4915,0
135,9813.8198,13061.7048,51.1025,-2.8532,39.3934,0
136,9812.7737,13061.3889,51.1021,-2.8534,39.2953,0
137,9811.7302,13061.0741,51.1007,-2.8534,39.1920,0
138,9810.6893,13060.7600,51.0993,-2.8535,39.0938,0
139,9809.6509,13060.4469,51.0987,-2.8536,39.0002,0
140,9808.6151,13060.1346,51.0987,-2.8535,38.9050,0
141,9807.5818,13059.8231,51.0987,-2.8534,38.8037,0
142,9806.5510,13059.5120,51.0974,-2.8533,38.7300,0
143,9805.5221,13059.2013,51.0955,-2.8532,38.6631,0
144,9804.4949,13058.8910,51.0939,-2.8532,38.5993,0
145,9803.4691,13058.5811,51.0936,-2.8531,38.5490,0
146,9802.4446,13058.2714,51.0934,-2.8530,38.5039,0
147,9801.4213,13057.9621,51.0924,-2.8529,38.4651,0
148,9800.3990,13057.6528,51.0905,-2.8528,38.4402,0
149,9799.3775,13057.3435,51.0881,-2.8527,38.4074,0
150,9798.3571,13057.0346,51.0856,-2.8526,38.3598,0
151,9797.3378,13056.7258,51.0829,-2.8526,38.3268,0
152,9796.3192,13056.4177,51.0802,-2.8525,38.3040,0
153,9795.3015,13056.1095,51.0766,-2.8525,38.2733,0
154,9794.2845,13055.8017,51.0727,-2.8524,38.2496,0
155,9793.2682,13055.4939,51.0680,-2.8524,38.2218,0
156,9792.2527,13055.1863,51.0632,-2.8523,38.1888,0
157,9791.2378,13054.8788,51.0592,-2.8523,38.1635,0
158,9790.2236,13054.5715,51.0552,-2.8523,38.1387,0
159,9789.2100,13054.2643,51.0504,-2.8522,38.1218,0
160,9788.1970,13053.9573,51.0453,-2.8522,38.1090,0
161,9787.1845,13053.6504,51.0405,-2.8522,38.0861,0
162,9786.1723,13053.3437,51.0363,-2.8521,38.0732,0
163,9785.1604,13053.0371,51.0328,-2.8521,38.0620,0
164,9784.1488,13052.7306,51.0296,-2.8521,38.0468,0
165,9783.1376,13052.4242,51.0270,-2.8521,38.0344,0
166,9782.1267,13052.1175,51.0251,-2.8521,38.0298,0
167,9781.1159,13051.8112,51.0232,-2.8521,38.0261,0
168,9780.1052,13051.5048,51.0217,-2.8522,38.0208,0
169,9779.0945,13051.1987,51.0214,-2.8522,38.0218,0
170,9778.0838,13050.8927,51.0215,-2.8522,38.0195,0
171,9777.0730,13050.5868,51.0212,-2.8521,38.0332,0
172,9776.0621,13050.2809,51.0197,-2.8521,38.0375,0
173,9775.0510,13049.9748,51.0181,-2.8522,38.0583,0
174,9774.0394,13049.6686,51.0168,-2.8522,38.0770,0
175,9773.0274,13049.3621,51.0160,-2.8522,38.0919,0
176,9772.0149,13049.0556,51.0151,-2.8521,38.1009,0
177,9771.0021,13048.7489,51.0142,-2.8521,38.1216,0
178,9769.9890,13048.4420,51.0142,-2.8521,38.1258,0
179,9768.9755,13048.1351,51.0146,-2.8522,38.1459,0
180,9767.9617,13047.8281,51.0146,-2.8522,38.1500,0
181,9766.9475,13047.5215,51.0149,-2.8522,38.1560,0
182,9765.9331,13047.2147,51.0158,-2.8523,38.1764,0
183,9764.9184,13046.9081,51.0174,-2.8522,38.1798,0
184,9763.9035,13046.6011,51.0188,-2.8523,38.1902,0
185,9762.8883,13046.2942,51.0201,-2.8523,38.1965,0
186,9761.8728,13045.9871,51.0210,-2.8523,38.2192,0
187,9760.8571,13045.6799,51.0213,-2.8524,38.2276,0
188,9759.8409,13045.3724,51.0215,-2.8524,38.2352,0
189,9758.8243,13045.0652,51.0215,-2.8524,38.2524,0
190,9757.8075,13044.7577,51.0218,-2.8524,38.2654,0
191,9756.7902,13044.4501,51.0214,-2.8525,38.2733,0
192,9755.7726,13044.1424,51.0210,-2.8527,38.2787,0
193,9754.7545,13043.8348,51.0211,-2.8530,38.2942,0
194,9753.7361,13043.5274,51.0207,-2.8532,38.3037,0
195,9752.7173,13043.2202,51.0202,-2.8534,38.3260,0
196,9751.6982,13042.9130,51.0203,-2.8537,38.3323,0
197,9750.6787,13042.6060,51.0203,-2.8539,38.3416,0
198,9749.6587,13042.2994,51.0197,-2.8541,38.3633,0
199,9748.6382,13041.9927,51.0183,-2.8543,38.3747,0
200,9747.6171,13041.6861,51.0161,-2.8545,38.3933,0
201,9746.5954,13041.3793,51.0132,-2.8546,38.4219,0
202,9745.5731,13041.0728,51.0112,-2.8545,38.4342,0
203,9744.5502,13040.7657,51.0088,-2.8544,38.4609,0
204,9743.5270,13040.4584,51.0065,-2.8543,38.4713,0
205,9742.5032,13040.1510,51.0040,-2.8543,38.4988,0
206,9741.4790,13039.8430,51.0020,-2.8543,38.5110,0
207,9740.4544,13039.5353,51.0027,-2.8543,38.5291,0
208,9739.4294,13039.2274,51.0043,-2.8542,38.5444,0
209,9738.4040,13038.9192,51.0049,-2.8542,38.5536,0
210,9737.3784,13038.6104,51.0039,-2.8543,38.5641,0
211,9736.3526,13038.3019,51.0033,-2.8542,38.5716,0
212,9735.3266,13037.9933,51.0038,-2.8543,38.5879,0
213,9734.3004,13037.6846,51.0051,-2.8543,38.6038,0
214,9733.2737,13037.3761,51.0057,-2.8544,38.6205,0
215,9732.2468,13037.0674,51.0055,-2.8544,38.6253,0
216,9731.2195,13036.7585,51.0056,-2.8544,38.6396,0
217,9730.1918,13036.4496,51.0061,-2.8544,38.6468,0
218,9729.1638,13036.1404,51.0058,-2.8544,38.6657,0
219,9728.1355,13035.8307,51.0050,-2.8543,38.6833,0
220,9727.1069,13035.5209,51.0045,-2.8542,38.6957,0
221,9726.0777,13035.2110,51.0044,-2.8542,38.7148,0
222,9725.0479,13034.9011,51.0044,-2.8541,38.7329,0
223,9724.0175,13034.5908,51.0042,-2.8541,38.7561,0
224,9722.9864,13034.2804,51.0038,-2.8541,38.7816,0
225,9721.9547,13033.9697,51.0033,-2.8540,38.8097,0
226,9720.9222,13033.6589,51.0028,-2.8539,38.8362,0
227,9719.8890,13033.3480,51.0024,-2.8540,38.8623,0
228,9718.8552,13033.0367,51.0023,-2.8540,38.8793,0
229,9717.8206,13032.7254,51.0026,-2.8539,38.9120,0
230,9716.7853,13032.4137,51.0029,-2.8539,38.9380,0
231,9715.7493,13032.1020,51.0034,-2.8540,38.9677,0
232,9714.7125,13031.7905,51.0041,-2.8540,38.9967,0
233,9713.6749,13031.4791,51.0049,-2.8540,39.0213,0
234,9712.6365,13031.1670,51.0052,-2.8540,39.0605,0
235,9711.5975,13030.8551,51.0052,-2.8540,39.0855,0
236,9710.5577,13030.5428,51.0040,-2.8540,39.1084,0
237,9709.5172,13030.2304,51.0032,-2.8541,39.1304,0
238,9708.4760,13029.9177,51.0036,-2.8542,39.1553,0
239,9707.4343,13029.6050,51.0054,-2.8543,39.1740,0
240,9706.3919,13029.2922,51.0078,-2.8542,39.1962,0
241,9705.3489,13028.9791,51.0092,-2.8542,39.2256,0
242,9704.3050,13028.6657,51.0096,-2.8542,39.2608,0
243,9703.2605,13028.3521,51.0095,-2.8543,39.2824,0
244,9702.2153,13028.0383,51.0101,-2.8543,39.2971,0
245,9701.1694,13027.7243,51.0108,-2.8543,39.3186,0
246,9700.1229,13027.4102,51.0108,-2.8543,39.3474,0
247,9699.0756,13027.0957,51.0099,-2.8543,39.3838,0
248,9698.0276,13026.7811,51.0093,-2.8543,39.4116,0
249,9696.9788,13026.4662,51.0087,-2.8543,39.4308,0
250,9695.9292,13026.1510,51.0074,-2.8544,39.4700,0
251,9694.8787,13025.8358,51.0060,-2.8544,39.5039,0
252,9693.8274,13025.5205,51.0056,-2.8544,39.5299,0
253,9692.7753,13025.2049,51.0039,-2.8545,39.5577,0
254,9691.7224,13024.8892,51.0009,-2.8545,39.5901,0
255,9690.6685,13024.5731,50.9981,-2.8546,39.6228,0
256,9689.6138,13024.2567,50.9978,-2.8546,39.6605,0
257,9688.5581,13023.9403,50.9970,-2.8545,39.6993,0
258,9687.5014,13023.6233,50.9935,-2.8546,39.7400,0
259,9686.4434,13023.3062,50.9870,-2.8546,39.7803,0
260,9685.3843,13022.9888,50.9812,-2.8547,39.8242,0
261,9684.3240,13022.6712,50.9763,-2.8547,39.8712,0
262,9683.2625,13022.3533,50.9710,-2.8548,39.9144,0
