ID,LID,Width,Color,type,LinkID
709,6689,10.0,W,0,0
710,6690,10.0,W,0,0
711,6691,10.0,W,0,0
712,6692,10.0,W,0,0
713,6693,10.0,W,0,0
714,6694,10.0,W,0,0
715,6695,10.0,W,0,0
716,6696,10.0,W,0,0
717,6697,10.0,W,0,0
718,6698,10.0,W,0,0
719,6699,10.0,W,0,0
720,6700,10.0,W,0,0
721,6701,10.0,W,0,0
722,6702,10.0,W,1,0
723,6703,10.0,W,1,0
724,6704,10.0,W,1,0
725,6705,10.0,W,1,0
726,6706,10.0,W,1,0
727,6707,10.0,W,1,0
728,6708,10.0,W,1,0
729,6709,10.0,W,1,0
730,6710,10.0,W,1,0
731,6711,10.0,W,1,0
732,6712,10.0,W,1,0
733,6713,10.0,W,0,0
734,6714,10.0,W,0,0
735,6715,10.0,W,0,0
736,6716,10.0,W,0,0
737,6717,10.0,W,0,0
738,6718,10.0,W,0,0
739,6719,10.0,W,0,0
740,6720,10.0,W,0,0
741,6721,10.0,W,0,0
742,6722,10.0,W,0,0
743,6723,10.0,W,0,0
744,6724,10.0,W,0,0
745,6725,10.0,W,0,0
746,6726,10.0,W,0,0
747,6727,10.0,W,0,0
748,6728,10.0,W,1,0
749,6729,10.0,W,1,0
750,6730,10.0,W,1,0
751,6731,10.0,W,1,0
752,6732,10.0,W,1,0
753,6733,10.0,W,1,0
754,6734,10.0,W,1,0
755,6735,10.0,W,1,0
756,6736,10.0,W,1,0
757,6737,10.0,W,1,0
758,6738,10.0,W,1,0
759,6739,10.0,W,1,0
760,6740,10.0,W,1,0
761,6741,10.0,W,1,0
762,6742,10.0,W,1,0
763,6743,10.0,W,1,0
764,6744,10.0,W,1,0
765,6745,10.0,W,1,0
766,6746,10.0,W,1,0
767,6747,10.0,W,1,0
768,6748,10.0,W,1,0
769,6749,10.0,W,1,0
770,6750,10.0,W,1,0
771,6751,10.0,W,1,0
772,6752,10.0,W,1,0
773,6753,10.0,W,1,0
774,6754,10.0,W,0,0
775,6755,10.0,W,0,0
776,6756,10.0,W,0,0
777,6757,10.0,W,0,0
778,6758,10.0,W,0,0
779,6759,10.0,W,0,0
780,6760,10.0,W,1,0
781,6761,10.0,W,1,0
782,6762,10.0,W,1,0
783,6763,10.0,W,1,0
784,6764,10.0,W,1,0
785,6765,10.0,W,1,0
786,6766,10.0,W,1,0
787,6767,10.0,W,0,0
788,6768,10.0,W,0,0
789,6769,10.0,W,0,0
790,6770,10.0,W,0,0
791,6771,10.0,W,0,0
792,6772,10.0,W,0,0
793,6773,10.0,W,0,0
794,6774,10.0,W,0,0
795,6775,10.0,W,0,0
796,6776,10.0,W,0,0
797,6777,10.0,W,0,0
798,6778,10.0,W,0,0
799,6779,10.0,W,0,0
800,6780,10.0,W,0,0
801,6781,10.0,W,0,0
802,6782,10.0,W,1,0
803,6783,10.0,W,1,0
804,6784,10.0,W,1,0
805,6785,10.0,W,1,0
806,6786,10.0,W,1,0
807,6787,10.0,W,1,0
808,6788,10.0,W,1,0
809,6789,10.0,W,1,0
810,6790,10.0,W,1,0
811,6791,10.0,W,1,0
812,6792,10.0,W,1,0
813,6793,10.0,W,1,0
814,6794,10.0,W,1,0
815,6795,10.0,W,1,0
