PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
37,0.0,0.0,35.76312255859375,9194.589999999851,9496.358000000007,0,0,0,0
38,0.0,0.0,35.77312469482422,9193.850999999791,9497.037000000011,0,0,0,0
39,0.0,0.0,35.77312469482422,9193.110999999568,9497.716999999946,0,0,0,0
40,0.0,0.0,35.776248931884766,9192.371000000276,9498.39599999995,0,0,0,0
41,0.0,0.0,35.78312301635742,9191.632000000216,9499.076000000001,0,0,0,0
42,0.0,0.0,35.77687454223633,9190.910000000149,9499.746999999974,0,0,0,0
43,0.0,0.0,35.78937530517578,9190.188000000082,9500.417999999947,0,0,0,0
44,0.0,0.0,35.80062484741211,9189.466000000015,9501.089000000036,0,0,0,0
45,0.0,0.0,35.78499984741211,9188.743999999948,9501.761000000057,0,0,0,0
46,0.0,0.0,35.80249786376953,9188.02199999988,9502.43200000003,0,0,0,0
47,0.0,0.0,35.81062316894531,9187.299999999814,9503.103000000003,0,0,0,0
48,0.0,0.0,35.79750061035156,9186.577999999747,9503.775000000023,0,0,0,0
49,0.0,0.0,35.80125045776367,9185.85599999968,9504.445999999996,0,0,0,0
50,0.0,0.0,35.82062530517578,9185.133999999613,9505.11699999997,0,0,0,0
51,0.0,0.0,35.811248779296875,9184.411999999546,9505.78899999999,0,0,0,0
52,0.0,0.0,35.81374740600586,9183.69000000041,9506.459999999963,0,0,0,0
53,0.0,0.0,35.8125,9182.968000000343,9507.131000000052,0,0,0,0
54,0.0,0.0,35.8125,9182.246000000276,9507.802999999956,0,0,0,0
55,0.0,0.0,35.82062530517578,9181.524000000209,9508.474000000046,0,0,0,0
56,0.0,0.0,35.81687545776367,9180.802000000142,9509.145000000019,0,0,0,0
57,0.0,0.0,35.81687545776367,9180.080000000075,9509.81700000004,0,0,0,0
58,0.0,0.0,35.818748474121094,9179.356999999844,9510.488000000012,0,0,0,0
59,0.0,0.0,35.826873779296875,9178.634999999776,9511.158999999985,0,0,0,0
60,0.0,0.0,35.818748474121094,9177.91299999971,9511.831000000006,0,0,0,0
61,0.0,0.0,35.82562255859375,9177.190999999642,9512.501999999979,0,0,0,0
62,0.0,0.0,35.82749938964844,9176.468999999575,9513.172999999952,0,0,0,0
63,0.0,0.0,35.82124710083008,9175.74700000044,9513.844999999972,0,0,0,0
64,0.0,0.0,35.83250045776367,9175.025000000373,9514.515999999945,0,0,0,0
65,0.0,0.0,35.834373474121094,9174.303000000305,9515.187000000034,0,0,0,0
66,0.0,0.0,35.474998474121094,9303.17100000009,9393.657000000007,0,0,0,0
67,0.0,0.0,35.47624969482422,9302.48900000006,9394.533000000054,0,0,0,0
68,0.0,0.0,35.47749710083008,9301.808000000194,9395.408999999985,0,0,0,0
69,0.0,0.0,35.4787483215332,9301.275000000373,9396.30799999996,0,0,0,0
70,0.0,0.0,35.4787483215332,9301.091000000015,9396.72199999995,0,0,0,0
71,0.0,0.0,35.49250030517578,9300.80700000003,9397.601999999955,0,0,0,0
72,0.0,0.0,35.498748779296875,9300.632000000216,9398.550000000047,0,0,0,0
73,0.0,0.0,35.49625015258789,9300.564000000246,9399.525999999954,0,0,0,0
74,0.0,0.0,35.49625015258789,9300.600999999791,9400.518999999971,0,0,0,0
75,0.0,0.0,35.49625015258789,9300.678000000305,9400.986000000034,0,0,0,0
76,0.0,0.0,35.484375,9300.799999999814,9401.422999999952,0,0,0,0
77,0.0,0.0,35.44874954223633,9301.178999999538,9402.204000000027,0,0,0,0
78,0.0,0.0,35.44874954223633,9301.70399999991,9402.80700000003,0,0,0,0
79,0.0,0.0,35.42749786376953,9302.10300000012,9403.079999999958,0,0,0,0
80,0.0,0.0,35.42749786376953,9302.881000000052,9403.484000000055,0,0,0,0
81,0.0,0.0,35.47624969482422,9302.349000000395,9394.162999999942,0,0,0,0
82,0.0,0.0,35.48562240600586,9301.527999999933,9394.668999999994,0,0,0,0
83,0.0,0.0,35.474998474121094,9300.707000000402,9395.175000000047,0,0,0,0
84,0.0,0.0,35.46562194824219,9299.88599999994,9395.680999999982,0,0,0,0
85,0.0,0.0,35.4631233215332,9298.92399999965,9396.04700000002,0,0,0,0
86,0.0,0.0,35.4631233215332,9298.00800000038,9396.145000000019,0,0,0,0
87,0.0,0.0,35.45124816894531,9297.144999999553,9396.062000000034,0,0,0,0
88,0.0,0.0,35.44499969482422,9296.759999999776,9395.974999999977,0,0,0,0
89,0.0,0.0,35.44499969482422,9296.508999999613,9395.86699999997,0,0,0,0
90,0.0,0.0,35.705623626708984,9207.742999999784,9484.065999999992,0,0,0,0
91,0.0,0.0,35.694374084472656,9206.843999999575,9484.68299999996,0,0,0,0
92,0.0,0.0,35.705623626708984,9205.945000000298,9485.300000000047,0,0,0,0
93,0.0,0.0,35.705623626708984,9205.044999999925,9485.915999999968,0,0,0,0
94,0.0,0.0,35.717498779296875,9204.21999999974,9486.440999999992,0,0,0,0
95,0.0,0.0,35.70874786376953,9203.395999999717,9486.966000000015,0,0,0,0
96,0.0,0.0,35.71562194824219,9202.571000000462,9487.491000000038,0,0,0,0
97,0.0,0.0,35.72062301635742,9201.746000000276,9488.015999999945,0,0,0,0
98,0.0,0.0,35.71437454223633,9200.92100000009,9488.540000000037,0,0,0,0
99,0.0,0.0,35.72437286376953,9200.095999999903,9489.064999999944,0,0,0,0
100,0.0,0.0,35.7193717956543,9199.270999999717,9489.589999999967,0,0,0,0
101,0.0,0.0,35.71125030517578,9198.536999999546,9490.079000000027,0,0,0,0
102,0.0,0.0,35.72062301635742,9197.803000000305,9490.569000000018,0,0,0,0
103,0.0,0.0,35.71812438964844,9197.069000000134,9491.05799999996,0,0,0,0
104,0.0,0.0,35.72249984741211,9196.351999999955,9491.564999999944,0,0,0,0
105,0.0,0.0,35.73187255859375,9195.634999999776,9492.072000000044,0,0,0,0
106,0.0,0.0,35.723121643066406,9194.918999999762,9492.579000000027,0,0,0,0
107,0.0,0.0,35.733123779296875,9194.218999999575,9493.10400000005,0,0,0,0
108,0.0,0.0,35.73562240600586,9193.519999999553,9493.628000000026,0,0,0,0
109,0.0,0.0,35.73624801635742,9192.821000000462,9494.152000000002,0,0,0,0
110,0.0,0.0,35.73624801635742,9192.139000000432,9494.694000000018,0,0,0,0
111,0.0,0.0,35.73999786376953,9191.457000000402,9495.236000000034,0,0,0,0
112,0.0,0.0,35.73374938964844,9190.775999999605,9495.77800000005,0,0,0,0
113,0.0,0.0,35.73500061035156,9189.936999999918,9496.481000000029,0,0,0,0
114,0.0,0.0,35.744998931884766,9189.097000000067,9497.185000000056,0,0,0,0
115,0.0,0.0,35.73624801635742,9188.25800000038,9497.888000000035,0,0,0,0
116,0.0,0.0,35.7443733215332,9187.51099999994,9498.535999999964,0,0,0,0
117,0.0,0.0,35.7443733215332,9186.764000000432,9499.184000000008,0,0,0,0
118,0.0,0.0,35.7443733215332,9186.015999999829,9499.832999999984,0,0,0,0
119,0.0,0.0,35.748748779296875,9185.26900000032,9500.481000000029,0,0,0,0
120,0.0,0.0,35.74812316894531,9184.531000000425,9501.14599999995,0,0,0,0
121,0.0,0.0,35.73187255859375,9183.792000000365,9501.812000000034,0,0,0,0
122,0.0,0.0,35.756248474121094,9183.053000000305,9502.478000000003,0,0,0,0
123,0.0,0.0,35.758750915527344,9182.31500000041,9503.14300000004,0,0,0,0
124,0.0,0.0,35.74187469482422,9181.57600000035,9503.809000000008,0,0,0,0
125,0.0,0.0,35.73374938964844,9180.838000000454,9504.474000000046,0,0,0,0
126,0.0,0.0,35.76187515258789,9180.099000000395,9505.140000000014,0,0,0,0
127,0.0,0.0,35.740623474121094,9179.360999999568,9505.805000000051,0,0,0,0
128,0.0,0.0,35.73999786376953,9178.62200000044,9506.47100000002,0,0,0,0
129,0.0,0.0,35.75312423706055,9177.88300000038,9507.136000000057,0,0,0,0
130,0.0,0.0,35.75312423706055,9177.144999999553,9507.802000000025,0,0,0,0
131,0.0,0.0,35.75187301635742,9176.406000000425,9508.466999999946,0,0,0,0
